mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,id
gdb_77727,OC1C23CCC12CCC3,2.60296,1.55541,1.46836,1.4714,81.16,-0.2169,0.0728,0.2897,1040.8188,0.184702,-387.061777,-387.05392,-387.052976,-387.09345,32.31,-2020.4195927141,-2034.1538821971,-2046.008782225,-1877.668825322,777
gdb_77728,OC1C23CCC12COC3,2.68729,1.59975,1.48091,1.4904,74.13,-0.2278,0.0661,0.294,989.8756,0.160907,-422.980548,-422.972938,-422.971994,-423.012116,30.563,-1833.1144313041,-1845.225982513,-1855.894890531,-1703.4127135671,777
gdb_77729,OC1C23CCC12OCC3,2.74515,1.58427,1.49937,0.613,73.9,-0.2165,0.0664,0.2829,989.3941,0.160283,-422.976135,-422.968413,-422.967469,-423.00789,30.949,-1830.3452340871,-1842.3865042881,-1853.055412306,-1700.7608605331,777
gdb_77730,OC1C23CCC12OCO3,2.81203,1.65923,1.54187,1.3518,66.57,-0.2254,0.0609,0.2863,934.7419,0.13611,-458.892341,-458.884908,-458.883964,-458.923805,29.462,-1641.4305120921,-1651.875399397,-1661.358315405,-1524.7784715191,777
gdb_77731,OC1C23CCOC12CN3,2.32074,1.97246,1.61277,0.8994,70.28,-0.2179,0.0558,0.2738,924.042,0.1492,-439.012038,-439.004628,-439.003684,-439.043501,29.862,-1704.2705183701,-1715.618391126,-1725.694303139,-1580.8802861551,777
gdb_77732,OC1C23COC12CCC3,2.76001,1.57546,1.49216,2.1416,73.37,-0.2327,0.0507,0.2834,992.3926,0.160991,-422.97575,-422.968315,-422.967371,-423.007128,30.392,-1830.1036431221,-1842.3250084061,-1852.993916424,-1700.282698675,777
gdb_77733,OC1C23CCOC12CO3,2.31948,2.00932,1.61414,1.8819,66.33,-0.2265,0.0404,0.2669,905.33,0.136385,-458.885247,-458.877914,-458.87697,-458.916711,29.105,-1636.9789632461,-1647.486601451,-1656.969517459,-1520.326922673,777
gdb_77734,OC1C23COC12COC3,2.85862,1.61288,1.50126,1.3552,66.49,-0.2455,0.0358,0.2813,943.9816,0.137073,-458.891493,-458.884258,-458.883314,-458.92282,28.733,-1640.8983844601,-1651.467518547,-1660.950434555,-1524.160375154,777
gdb_77735,CC12C3CC=C(C13)C2O,2.33454,1.98921,1.36443,1.7578,82.55,-0.2124,-0.0338,0.1786,999.6879,0.159009,-385.796476,-385.788673,-385.787729,-385.828166,31.665,-1854.283447419,-1866.2745169001,-1876.943424918,-1724.9143094521,777
gdb_77736,CC12C3CN=C(C1O)N23,2.41795,2.11402,1.38908,2.4498,73.68,-0.2494,-0.0493,0.2001,948.0023,0.136382,-417.915106,-417.907724,-417.90678,-417.946564,29.292,-1631.516497401,-1641.993387665,-1651.4763036731,-1514.7565252801,777
gdb_77737,CC12C3N1CC=C3C2O,2.3166,2.11119,1.41866,1.9427,79.14,-0.2058,-0.0381,0.1677,961.5456,0.146573,-401.825888,-401.817867,-401.816923,-401.857905,31.426,-1724.1355707831,-1735.100663049,-1745.176575062,-1601.3490022261,777
gdb_77738,CC1C2=CCC3C2C13C,2.28707,1.96239,1.3497,1.0846,89.5,-0.2029,-0.0246,0.1783,1048.213,0.182096,-349.864989,-349.856754,-349.85581,-349.89704,33.265,-2033.609204385,-2047.1069229751,-2058.961823003,-1891.3516590671,777
gdb_77739,CC1C2=CCC3C2C13O,2.30729,1.99411,1.35848,1.709,82.02,-0.2071,-0.0297,0.1773,1002.2429,0.158611,-385.789266,-385.781404,-385.780459,-385.820928,32.028,-1849.7591075291,-1861.7131539791,-1872.381434488,-1720.3723993101,777
gdb_77740,CC1C2=CCN3C2C13C,2.2794,2.05141,1.38902,1.1863,85.53,-0.205,-0.0384,0.1666,1013.9503,0.17004,-365.89753,-365.889342,-365.888398,-365.929582,32.686,-1905.4248034101,-1918.0628346701,-1929.324738693,-1769.545259568,777
gdb_77741,OC1C2=CCC3C2C13O,2.36362,2.03103,1.38933,1.1858,75.38,-0.2075,-0.0301,0.1775,949.5138,0.135047,-421.717765,-421.709963,-421.709018,-421.749629,30.864,-1668.5583536711,-1678.7723176641,-1688.254606163,-1552.4133403701,777
gdb_77742,CC12C(O)C1C(=O)C2O,2.07451,1.5214,1.48941,4.0804,69.27,-0.2306,-0.0175,0.2131,1033.1102,0.134327,-458.948773,-458.940104,-458.93916,-458.981698,32.931,-1676.8420999801,-1686.5113861611,-1695.9943021691,-1561.106850056,777
gdb_77743,CC1C(=O)C2C(O)C12C,1.9793,1.51246,1.43515,3.0677,76.68,-0.2339,-0.0071,0.2268,1092.0671,0.156988,-423.021834,-423.012505,-423.011561,-423.055418,34.945,-1859.0217678781,-1870.054631116,-1880.723539134,-1730.585108285,777
gdb_77744,CC1C(=O)C2C(O)C12O,1.99722,1.54045,1.43073,3.7022,70.03,-0.2365,-0.0092,0.2273,1046.3652,0.133215,-458.943452,-458.934378,-458.933433,-458.976795,33.882,-1673.5031245911,-1682.918269627,-1692.400558126,-1558.030173429,777
gdb_77745,CC1C(=O)C2N(C)C12C,1.99169,1.53829,1.40205,2.5976,80.3,-0.2234,-0.0179,0.2055,1112.2478,0.168456,-403.124809,-403.115246,-403.114302,-403.1587,35.467,-1911.3685686581,-1923.143147534,-1934.405051557,-1776.386990195,777
gdb_77746,CC1C2C(=O)C(C)C12C,1.89032,1.50662,1.38458,3.3539,83.75,-0.2317,-0.0066,0.2252,1150.7141,0.180598,-387.094657,-387.085024,-387.08408,-387.128558,36.191,-2041.052088634,-2053.671922133,-2065.526822161,-1899.699411294,777
gdb_77747,CC1C2C(=O)C(C)C12O,1.91213,1.53503,1.38202,3.8882,76.79,-0.2318,-0.0081,0.2237,1103.9666,0.156728,-423.016578,-423.007124,-423.00618,-423.050368,35.21,-1855.7235805741,-1866.678005187,-1877.346913205,-1727.416187835,777
gdb_77748,CC1C2C(=O)C(O)C12C,1.97294,1.51573,1.42731,2.4023,76.92,-0.2288,-0.0145,0.2143,1094.1786,0.157014,-423.020226,-423.010822,-423.009878,-423.053957,34.955,-1858.0127334061,-1868.9985334691,-1879.6674414871,-1729.6683176361,777
gdb_77749,CC1C2C(=O)C(O)C12O,2.00134,1.53718,1.43316,2.5831,69.39,-0.2325,-0.0182,0.2143,1046.041,0.133153,-458.941877,-458.932644,-458.9317,-458.97551,33.94,-1672.5147979161,-1681.830169021,-1691.313085029,-1557.223824364,777
gdb_77750,CC1C2C(=O)N(C)C12C,1.97398,1.61923,1.38568,3.9033,80.4,-0.2278,0.0199,0.2477,1106.7136,0.169314,-403.154245,-403.144683,-403.143739,-403.188137,35.209,-1929.8399235821,-1941.615129967,-1952.87703399,-1794.858972628,777
gdb_77751,CC1N2C(=N)C(O)C12C,1.98547,1.60629,1.42364,3.3028,77.24,-0.2387,0.001,0.2397,1078.814,0.157798,-419.168276,-419.158946,-419.158001,-419.201826,34.931,-1790.040331017,-1801.0719392371,-1811.740219746,-1661.222145952,777
gdb_77752,CC1N2C(=O)C(C)C12C,1.92684,1.59526,1.41436,4.0908,79.34,-0.2371,-0.0047,0.2324,1109.8587,0.16893,-403.145543,-403.136018,-403.135074,-403.17932,35.413,-1924.379340264,-1936.177764482,-1947.439668505,-1789.326225775,777
gdb_77753,CC1N2C(=O)C(O)C12C,2.01177,1.59603,1.46582,3.0384,72.5,-0.2362,-0.0136,0.2226,1053.0843,0.145297,-439.069102,-439.059803,-439.058859,-439.102691,34.21,-1740.078691946,-1750.241200201,-1760.317112214,-1618.022543865,777
gdb_77754,CN1C(=O)C2C(O)C12C,2.07629,1.6311,1.44153,3.3285,73.16,-0.2318,0.0145,0.2462,1045.2428,0.14584,-439.078808,-439.069565,-439.06862,-439.112388,33.871,-1746.1692943,-1756.366943059,-1766.442227563,-1624.107498638,777
gdb_77755,CN1C2C(=O)C(O)C12C,2.08272,1.54491,1.44985,1.6757,73.5,-0.2248,-0.0263,0.1985,1055.6863,0.1448,-439.049458,-439.040081,-439.039136,-439.083274,34.273,-1727.7519051501,-1737.865467703,-1747.940752207,-1605.838201612,777
gdb_77756,CC1(C)C2C(O)C1C2=O,2.25178,1.78668,1.15632,2.6543,76.2,-0.2369,0.0027,0.2396,1087.9779,0.157181,-422.983124,-422.974186,-422.973242,-423.016016,34.614,-1834.730894488,-1846.009113745,-1856.6780217631,-1705.859998667,777
gdb_77757,CC1(O)C2C(O)C1C2=O,2.32104,1.81298,1.18038,3.5231,69.14,-0.2358,0.0062,0.242,1036.4969,0.133548,-458.914396,-458.905823,-458.904879,-458.946832,33.404,-1655.2702230871,-1664.9997501321,-1674.48266614,-1539.228121262,777
gdb_77758,CC1C2C(=O)C1C2(C)C,2.42125,1.62381,1.12818,3.0555,83.45,-0.2361,0.0157,0.2519,1158.3656,0.180717,-387.065974,-387.056748,-387.055804,-387.099141,35.819,-2023.053247987,-2035.9284776491,-2047.783377677,-1881.239979041,777
gdb_77759,CC1C2C(=O)C1C2(C)O,2.48505,1.64467,1.14769,4.0913,76.25,-0.2354,0.019,0.2544,1107.7356,0.157074,-422.99549,-422.986591,-422.985647,-423.028274,34.626,-1842.4906707821,-1853.79336289,-1864.462270908,-1713.552003989,777
gdb_77760,CN1C2C(=O)C1C2(C)C,2.11268,1.85073,1.14029,3.6582,81.07,-0.2177,0.0118,0.2295,1127.4737,0.167835,-403.072236,-403.062693,-403.061749,-403.106497,35.607,-1878.378538001,-1890.1656670571,-1901.42757108,-1743.629137868,777
gdb_77761,CN1C2C(=O)C1C2(C)O,2.16746,1.87488,1.16115,4.6149,74.18,-0.2233,0.0113,0.2346,1077.9258,0.144078,-439.002808,-438.993589,-438.992645,-439.036567,34.471,-1698.4786103001,-1708.691319275,-1718.767231288,-1576.529138749,777
gdb_77762,CC1C2C(=O)C1C21CC1,2.74615,1.51389,1.13572,3.0114,81.13,-0.2383,0.0144,0.2527,1124.832,0.158583,-385.840266,-385.832147,-385.831203,-385.872601,32.01,-1881.762066529,-1893.5548431661,-1904.223751184,-1752.797671867,777
gdb_77763,CC1C2C(=O)C1C21CN1,2.80759,1.51797,1.14507,3.6824,77.29,-0.2429,0.0088,0.2517,1098.2026,0.147416,-401.881589,-401.873653,-401.872709,-401.913777,31.089,-1759.0884495921,-1770.106880123,-1780.182792136,-1636.409185074,777
gdb_77764,CC1C2C(=O)C1C21CO1,2.86419,1.51717,1.15122,4.1975,73.28,-0.2474,0.0037,0.2511,1077.7044,0.134749,-421.764393,-421.756582,-421.755637,-421.79649,30.32,-1697.8178433231,-1708.026159735,-1717.508448234,-1581.819039619,777
gdb_77765,CN1C2C(=O)C1C21CC1,2.19971,1.89779,1.18553,3.6575,77.77,-0.2261,0.0023,0.2284,1064.4316,0.146294,-401.853671,-401.845603,-401.844659,-401.885964,31.499,-1741.56965333,-1752.505252673,-1762.581164686,-1618.956277257,777
gdb_77766,CN1C2C(=O)C1C21CN1,2.22615,1.91325,1.19582,4.0263,74.06,-0.2368,-0.005,0.2318,1039.4535,0.134993,-417.895257,-417.887331,-417.886387,-417.927479,30.622,-1619.0610712601,-1629.196596628,-1638.679512636,-1502.780516015,777
gdb_77767,CN1C2C(=O)C1C21CO1,2.24536,1.92179,1.20199,4.356,70.12,-0.2458,-0.0116,0.2342,1020.7544,0.122258,-437.778012,-437.770192,-437.769248,-437.810181,29.871,-1557.75971705,-1567.073205628,-1575.963125631,-1448.183467961,777
gdb_77768,OC1C2C(=O)C1C21CC1,2.78009,1.54344,1.15383,3.9453,73.65,-0.2391,0.0151,0.2542,1068.2104,0.135024,-421.764594,-421.756765,-421.755821,-421.796664,30.768,-1697.943972632,-1708.140993882,-1717.6239098901,-1581.928226185,777
gdb_77769,OC1C2C(=O)C1C21CN1,2.84711,1.54707,1.16367,4.7635,69.88,-0.2438,0.0094,0.2532,1041.8245,0.123818,-437.804917,-437.797274,-437.79633,-437.836836,29.852,-1574.6428466951,-1584.067404366,-1592.957324369,-1464.909720356,777
gdb_77770,OC1C2C(=O)C1C21CO1,2.90906,1.54594,1.17057,4.8928,65.94,-0.2483,0.0042,0.2525,1021.2657,0.111096,-457.686907,-457.679384,-457.67844,-457.71874,29.103,-1512.8614481001,-1521.472754107,-1529.769678105,-1409.8119201201,777
gdb_77771,CC12C=CC(=O)C1C2O,2.45081,1.5325,1.33367,3.715,75.05,-0.24,-0.0601,0.1799,1038.6053,0.13536,-421.841146,-421.833011,-421.832067,-421.873469,31.474,-1745.9810416001,-1755.9860450961,-1765.468961104,-1630.1240549301,777
gdb_77772,CC1C2C(=O)C=CC12C,2.3593,1.53209,1.3072,3.7313,82.01,-0.2341,-0.0501,0.184,1088.9661,0.158966,-385.918431,-385.909946,-385.909002,-385.951072,32.802,-1930.811307514,-1942.374415857,-1953.043323875,-1802.0389306061,777
gdb_77773,CC1C2C(=O)C=CC12O,2.38924,1.55316,1.31741,4.2145,74.31,-0.2386,-0.0562,0.1824,1039.3688,0.135161,-421.838093,-421.829869,-421.828925,-421.870489,31.729,-1744.0652566231,-1754.014411818,-1763.4973278261,-1628.2540781101,777
gdb_77774,CC1N2C(=O)C=CC12C,2.44247,1.64899,1.36809,4.4499,78.22,-0.2449,-0.05,0.1949,1033.1107,0.147193,-401.969587,-401.961263,-401.960319,-402.002078,31.868,-1814.307986574,-1825.082943613,-1835.158855626,-1691.818857283,777
gdb_77775,CN1C2C(=O)C=CC12C,2.52054,1.53708,1.34205,3.2113,78.4,-0.2306,-0.0645,0.166,1051.4668,0.146747,-401.946878,-401.938459,-401.937515,-401.979479,32.151,-1800.0578846931,-1810.7732283771,-1820.84914039,-1677.637781392,777
gdb_77776,OC1C2C(=O)C=CC12O,2.51242,1.56334,1.35003,3.1304,67.05,-0.2436,-0.0575,0.1861,985.3656,0.111436,-457.760387,-457.752427,-457.751483,-457.792616,30.468,-1558.9708094201,-1567.307893994,-1575.604817992,-1456.169775004,777
gdb_77777,CC1C2C(=N)OC12C#C,2.60466,1.44534,1.09783,2.5531,79.82,-0.253,-0.0049,0.2481,1122.2756,0.122287,-400.688381,-400.679948,-400.679004,-400.721323,31.915,-1638.191310634,-1647.1207637041,-1656.010683707,-1529.356149674,777
gdb_77778,CC1C2C(=N)OC12C#N,2.60725,1.45274,1.10262,3.1498,73.8,-0.2841,-0.0269,0.2572,1095.7804,0.111973,-416.790473,-416.782419,-416.781474,-416.823204,29.815,-1553.6507881181,-1561.928886846,-1570.2251833351,-1451.060596726,777
gdb_77779,CC1C2C(=O)CC12C#C,2.56243,1.3622,1.05754,2.8291,82.13,-0.2452,-0.023,0.2223,1163.4382,0.133868,-384.652528,-384.643945,-384.643,-384.685577,32.832,-1764.2974018011,-1774.021908774,-1783.504197273,-1649.1520103371,777
gdb_77780,CC1C2C(=O)CC12C#N,2.58856,1.36315,1.06268,2.9609,75.9,-0.2651,-0.0421,0.223,1135.527,0.123741,-400.757893,-400.749713,-400.748769,-400.790719,30.598,-1681.8107162421,-1690.898929089,-1699.788849092,-1572.9027642381,777
gdb_77781,CC1C2C(=O)NC12C#C,2.75338,1.37056,1.07358,3.4934,77.86,-0.2428,-0.0082,0.2346,1130.5181,0.122697,-400.710553,-400.702144,-400.7012,-400.743355,32.034,-1652.1044401821,-1661.048953468,-1669.938873471,-1543.1814279621,777
gdb_77782,CC1C2C(=O)OC12C#C,2.61155,1.45226,1.09993,4.133,74.16,-0.2613,-0.017,0.2443,1101.1922,0.110327,-420.591295,-420.58307,-420.582126,-420.624069,30.837,-1589.5399103551,-1597.7113325531,-1606.0082565511,-1487.3368920161,777
gdb_77783,CC1C2C(=O)OC12C#N,2.6187,1.4584,1.10481,4.0984,68.34,-0.2981,-0.0394,0.2586,1074.8585,0.099938,-436.692422,-436.684537,-436.683593,-436.725056,28.787,-1504.3938416541,-1511.889436659,-1519.593364652,-1408.480346022,777
gdb_77784,CC1N2C(=N)CC12C#N,2.8371,1.36809,1.09385,4.5254,77.07,-0.2649,-0.0259,0.239,1113.9751,0.124009,-396.902252,-396.894002,-396.893057,-396.935087,30.735,-1611.522178134,-1620.565837842,-1629.455130336,-1502.259683545,777
gdb_77785,CC1N2C(=O)CC12C#C,2.82725,1.36912,1.09149,3.7357,77.78,-0.2491,-0.0221,0.227,1119.8794,0.12186,-400.699124,-400.690604,-400.68966,-400.732099,32.116,-1644.932639821,-1653.807499608,-1662.697419611,-1536.118186658,777
gdb_77786,CC1N2C(=O)CC12C#N,2.84229,1.37408,1.09639,3.8237,71.77,-0.2713,-0.042,0.2293,1092.6449,0.111592,-416.802144,-416.794005,-416.793061,-416.834913,29.978,-1560.974445657,-1569.19920612,-1577.496130118,-1458.408099607,777
gdb_77787,CN1C2C(=O)CC12C#C,2.76487,1.36002,1.08291,2.0889,78.6,-0.2375,-0.0336,0.2039,1126.4691,0.1217,-400.678875,-400.670398,-400.669454,-400.711878,32.003,-1632.22621008,-1641.128052754,-1650.017972757,-1523.429327169,777
gdb_77788,CN1C2C(=O)CC12C#N,2.78583,1.36173,1.08724,2.8179,72.44,-0.2571,-0.053,0.204,1099.7682,0.111401,-416.782755,-416.774626,-416.773682,-416.815599,29.922,-1548.807673656,-1557.038709209,-1565.335633207,-1446.288390781,777
